Republic Day,Milad un-Nabi/Id-e-Milad,Holi,Rama Navami,Mahavir Jayanti,Good Friday,Buddha Purnima/Vesak,Independence Day,Janmashtami,Ramzan Id/Eid-ul-Fitar,Mahatma Gandhi Jayanti,Dussehra (Maha Navami),Diwali/Deepavali,Guru Nanak Jayanti,Muharram/Ashura,Christmas,Chhat Puja (Pratihar Sashthi/Surya Sashthi),Bank Holiday,Maha Shivratri,Children's Day,Maharishi Valmiki,Idul Juha
1/26/2011,2/16/2011,3/20/2011,04-12-2011,4/16/2011,4/22/2011,5/17/2011,8/15/2011,8/22/2011,09-01-2011,10-02-2011,10-06-2011,10/26/2011,11-10-2011,12-06-2011,12/25/2011,11-01-2011,04-01-2011,03-02-2011,11/14/2011,10-11-2011,11-06-2011
1/26/2012,02-05-2012,03-08-2012,04-01-2012,04-05-2012,04-06-2012,05-06-2012,8/15/2012,08-10-2012,8/20/2012,10-02-2012,10/24/2012,11/13/2012,11/28/2012,11/25/2012,12/25/2012,11/19/2012,04-01-2012,2/20/2012,11/14/2012,10/29/2012,10/26/2012
1/26/2013,1/25/2013,3/27/2013,4/19/2013,4/24/2013,3/29/2013,5/25/2013,8/15/2013,8/28/2013,08-09-2013,10-02-2013,10/13/2013,11-03-2013,11/17/2013,11/14/2013,12/25/2013,11-08-2013,04-01-2013,03-10-2013,11/14/2013,10/18/2013,10/15/2013
1/26/2014,1/14/2014,3/16/2014,04-08-2014,4/13/2014,4/18/2014,5/14/2014,8/15/2014,8/17/2014,7/29/2014,10-02-2014,10-03-2014,10/23/2014,11-06-2014,11-04-2014,12/25/2014,10/29/2014,04-01-2014,2/27/2014,11/14/2014,10-08-2014,10-06-2014
1/26/2015,01-04-2015,3/17/2014,3/28/2015,04-02-2015,04-03-2015,05-04-2015,8/15/2015,09-05-2015,7/19/2015,10-02-2015,10/22/2015,11-11-2015,11/25/2015,10/24/2015,12/25/2015,11/17/2015,04-01-2015,2/17/2015,11/14/2015,10/27/2015,9/25/2015
1/26/2016,12/13/2016,03-06-2015,4/15/2016,4/20/2016,3/25/2016,5/21/2016,8/15/2016,8/25/2016,07-06-2016,10-02-2016,10-11-2016,10/30/2016,11/14/2016,10-12-2016,12/25/2016,11-06-2016,04-01-2016,03-07-2016,11/14/2016,10/15/2016,09-12-2016
1/26/2017,12-02-2017,3/24/2016,04-04-2017,04-09-2017,4/14/2017,05-10-2017,8/15/2017,8/15/2017,6/26/2017,10-02-2017,9/30/2017,10/19/2017,11-04-2017,10-01-2017,12/25/2017,10/26/2017,04-01-2017,2/24/2017,11/14/2017,10-05-2017,09-02-2017
1/26/2018,11/21/2018,3/13/2017,3/25/2018,3/29/2018,3/30/2018,4/30/2018,8/15/2018,09-03-2018,6/15/2018,10-02-2018,10/19/2018,11-07-2018,11/23/2018,9/21/2018,12/25/2018,11/13/2018,04-01-2018,2/13/2018,11/14/2018,10/24/2018,8/22/2018
1/26/2019,11-10-2019,03-02-2018,4/13/2019,4/17/2019,4/19/2019,5/18/2019,8/15/2019,8/24/2019,06-05-2019,10-02-2019,10-08-2019,10/27/2019,11-12-2019,09-10-2019,12/25/2019,11-02-2019,04-01-2019,03-04-2019,11/14/2019,10/13/2019,08-12-2019
1/26/2020,10/29/2020,03-10-2020,04-02-2020,04-06-2020,04-10-2020,05-07-2020,8/15/2020,08-11-2020,5/24/2020,10-02-2020,10/25/2020,11/14/2020,11/30/2020,8/20/2020,12/25/2020,11/20/2020,04-01-2020,2/21/2020,11/14/2020,10/31/2020,7/31/2020
1/26/2021,10/18/2021,3/29/2021,4/21/2021,4/25/2021,04-02-2021,5/26/2021,8/15/2021,8/30/2021,05-12-2021,10-02-2021,10/15/2021,11-04-2021,11/19/2021,8/19/2021,12/25/2021,11-10-2021,04-01-2021,03-11-2021,11/14/2021,10/31/2021,7/21/2021
